time,left pressure 0[N/cm²],left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm²],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,2.5,0.0,0.0,3.25,0.0,0.0,1.0,0.0,0.0,5.25,0.0,0.0,0.0,-0.11,-0.42,0.58,28.06,6.3,3.6,3.75,0.5,5.0,4.0,4.5,7.25,6.0,5.25,0.5,2.25,1.75,0.75,0.25,0.14,0.14,0.95,666.33,-5.6,23.3
0.04,1.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.23,0.27,35.47,32.5,92.3,4.0,0.75,5.25,5.0,5.5,7.75,6.0,5.5,0.75,3.5,0.25,1.0,0.25,0.14,0.08,0.95,648.81,-4.9,25.1
0.06,0.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.23,0.52,32.83,21.8,68.4,5.0,1.5,6.75,5.75,7.25,8.0,6.5,6.0,0.75,3.25,2.0,1.0,0.75,0.14,0.08,0.95,694.41,-6.3,25.5
0.08,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.36,-0.23,0.83,24.96,25.0,38.2,5.25,1.5,7.0,5.75,7.5,8.5,6.5,6.0,0.75,3.25,2.0,1.0,1.25,0.08,0.14,0.95,762.32,-6.1,24.9
0.1,1.5,0.0,2.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,-0.42,-0.11,1.02,40.0,31.4,63.7,5.0,1.5,6.75,6.0,8.0,8.75,6.25,6.25,0.75,3.25,2.0,1.0,1.0,0.14,0.08,0.95,823.9,-5.5,25.3
0.12,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.08,1.08,30.77,28.6,83.5,5.25,1.5,7.0,6.0,8.0,9.0,6.5,6.25,0.75,3.25,2.0,1.0,1.0,0.14,0.14,0.95,872.71,-5.8,25.8
0.14,2.5,0.0,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.73,0.33,1.14,55.49,32.0,64.5,5.25,1.5,7.0,6.0,8.0,9.25,6.5,6.25,0.75,3.25,2.0,1.0,0.75,0.14,0.14,0.95,900.69,-5.7,26.5
0.16,2.75,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.8,0.64,1.45,69.42,30.2,73.6,5.25,1.5,7.0,6.0,8.5,9.5,6.5,6.25,0.75,3.25,2.0,1.0,0.5,0.14,0.14,0.95,921.23,-5.6,27.4
0.18,2.5,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,-0.98,0.64,1.7,79.82,27.5,64.3,5.25,1.5,7.0,6.25,8.75,9.75,6.75,6.25,0.0,3.0,2.0,1.0,0.25,0.14,0.14,0.95,937.09,-5.6,29.7
0.2,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.36,0.7,1.77,66.14,25.2,31.2,5.0,1.25,7.0,6.0,9.25,9.5,7.0,6.25,0.5,1.5,1.5,0.25,0.75,0.14,0.14,0.95,933.87,-5.9,33.1
